person,file,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
Edwin,Confirm Transaction.m4a,-0.053765044,0.031827454,-0.00060181995,0.004626398,7.650058e-05,0.0044095046,0.00030512936,0.0021984852,-0.001227807,0.0020924667,-0.0012618932,0.0016929304,-0.00012698182,0.0003926235,-0.0024531146,-0.00019518926,-0.0021913126,0.00019470914,-0.0016971068,0.0009496311,-0.0018642847,-0.0003726313,-0.0019074775,0.00031859102,-0.0007769348,-0.00024321055,-0.0008849109,0.00073888694,-0.002003191,-0.00050270814,-0.0010513212,-0.00065910374,-0.002513709,-0.0011390861,-0.0014750103,-0.00095200265,-0.0010217613,7.781851e-05,-0.00031658344,-0.00017910088,0.997997,1.4337543e-05
Edwin,Process Complete.m4a,-0.046306305,0.02490306,-0.00020668998,0.0043652905,-0.00054048054,0.0038593686,0.0009212454,0.0016455742,-0.00024797962,0.0017886029,-0.0019842586,0.0011330395,-0.0002728589,0.000119746546,-0.002328309,0.000567208,-0.0016304362,0.0001221702,-0.0005252804,0.00083890767,-0.0021994875,3.0180281e-05,-0.0015739921,-0.00043823954,-0.0010746651,0.00018788749,-0.00083152315,0.00015071989,-0.0012180051,-0.00043788005,-0.0011370658,-0.00075560337,-0.0017044052,-0.0011018929,-0.0011406227,-0.00048976263,-0.00064730295,-0.00021283017,-0.0004631677,0.00038643184,0.99857914,1.1304335e-05
Edwin,"Yes, approve.m4a",-0.069647275,0.025790466,0.0036293233,0.005691528,0.0014564923,0.0032966828,0.00040268025,0.00053704204,-0.0009183556,0.001301604,-0.0015284073,0.00037961963,-0.0010088427,0.0012433912,-0.00082147034,0.0007914864,-0.0004892288,-0.0001195771,0.00021070891,0.00011201465,-0.00051968853,-0.00048580117,-0.00037777895,-0.00038541228,-0.0007236809,-0.0002974593,-0.0006439024,1.9881219e-07,-0.0002698053,-3.6995632e-05,-0.0001535178,-0.0004698919,-0.00038952666,-0.00033586682,-0.0005044827,1.6764698e-06,-0.0002465584,5.640948e-06,-0.00014335889,-8.602107e-05,0.9972027,9.4809e-06
Edwin,Yes.m4a,-0.0697897,0.025051784,0.001703501,0.0061326553,0.0013434652,0.0028209873,-0.0011906377,-0.00054221036,-0.002076347,0.00068394653,-0.0004483422,-0.00037769135,-0.0012274589,0.0013250342,-0.0001008509,0.00036498305,-0.0010998001,0.0007224998,0.00029043795,-0.00054014457,-0.00034939728,-0.00049240026,-0.00053305476,-0.0013090634,-0.0010615065,-0.0007875884,-0.0002916578,0.00071639766,0.0006724984,0.00065053307,0.00026502812,-2.6816304e-05,3.118172e-05,8.297812e-06,-0.00051925034,-0.00023949321,-0.00027369033,-0.00036169073,-0.00022259782,-0.0006474294,0.9972124,7.749858e-06
Glory,Confirm Transaction.m4a,-0.111798085,0.056762636,-0.0024228992,0.011248285,-0.0031073473,0.0024544853,-0.0027232596,0.001261371,-0.0023012038,0.0013102122,-0.002119876,-0.00049164146,-0.0025417246,0.00022448089,-0.0003533167,-0.00017625104,0.0008445793,-0.000738921,0.00019158995,-0.0007732727,-0.00038283502,-0.001433679,-0.0016836737,-0.0010484066,-0.0013852428,-0.0011174424,-0.0014492888,-0.0010567263,-0.0002309166,0.0008500853,0.001144245,0.0012731585,0.0012352366,0.0020740551,0.0006470991,0.00017767998,-4.6619298e-05,0.0004469688,0.00029961253,-0.00018835554,0.99200755,1.3250635e-05
Glory,Process Complete.m4a,-0.10430548,0.04224436,0.00079172116,0.011495404,-0.0021166902,0.00611277,-0.0019309779,0.00027641887,-0.00205489,0.00029071342,-0.0011715804,0.0006821999,-0.0011608341,0.00056852447,-0.00026271795,-0.00039716315,-0.00012928399,-0.00022802509,7.538095e-05,-0.0010060817,-5.719153e-06,-0.00014617648,-0.00022923162,-4.428746e-05,-0.0004907742,-0.0004030731,-0.0005156465,-0.00079625053,-0.00065047835,-0.0007058807,0.00025541786,0.0010369252,0.0008961184,0.0015218088,0.0008121609,0.0007980528,0.00035044597,0.0002606892,0.00034318026,0.00071612,0.99354905,6.7185065e-06
Glory,Yes Approve.m4a,-0.10576946,0.04770767,-0.004827042,0.014410421,0.004220799,0.003281672,-0.0018936441,-0.0015884852,0.00014631439,-0.0006980208,0.0023413454,0.00042895574,0.00040372263,0.001207413,-0.0004097947,0.0009173722,-2.3290118e-05,-0.00017575834,-0.00085026893,-0.0013337503,-0.00037851103,0.00030349643,-0.002028291,-0.0008923985,-0.0005025998,-0.000968061,0.00027312856,0.0010038569,8.86746e-05,0.0015005913,0.0012255377,0.00092172646,0.00064624706,0.00035568463,0.00034002445,0.00044657732,-7.907446e-05,4.3847945e-06,-0.00045393762,-0.0006255926,0.9930994,8.419072e-06
Glory,Yes.m4a,-0.14244924,0.054323465,-0.00044472376,0.010884198,-0.001286702,0.0050635845,-0.0015394479,-0.0014369087,-9.865154e-05,0.0001535509,0.00022351797,-0.0015546958,-0.00028844623,0.00011867747,0.0006129135,-0.0006838964,0.0006585819,2.9841169e-05,-0.00046733092,-0.000168826,0.00021814852,-0.00017161394,0.0006090385,-0.0004421429,-1.5272231e-05,-0.0006361121,-0.00010680841,-0.00029652688,3.2314172e-05,0.0007588761,0.00028832944,0.0007750953,-4.9820733e-06,0.0009769852,-2.318556e-05,0.0002556768,-0.0004060614,0.0007293878,-0.0002888707,0.0001240344,0.98822993,4.2060187e-06
Justine,Transaction.m4a,-0.118515715,0.02804755,-0.0051562465,0.0037509913,0.0026488516,0.0018946195,-0.0025922398,-0.0013672664,0.0002352225,0.0019248796,0.00095238164,-0.0019842393,-5.0964743e-05,0.001031109,0.0009323213,0.000638837,4.1563712e-06,-0.00033764928,-0.0008959394,-0.0008618591,-0.00079202285,-0.00029000893,-0.00086894206,-0.00089802506,-0.0004703645,-0.0011810217,-0.0009355024,-0.00037473778,-0.0005701629,-0.00047194478,-0.0007366594,-0.0004699961,-0.00029151657,-0.0007912988,-0.00052419584,-0.0001431444,-0.00015662303,0.00025354954,0.00045053335,0.00046955489,0.99251556,4.9262912e-06
Justine,Yes-I-approve.m4a,-0.11531114,0.027801981,-0.003558184,0.0039685797,0.0018586011,0.0020898252,-0.0024243344,-0.00043779056,0.0011293072,0.0012235477,0.0007881966,-0.0011077452,0.0004943075,0.0010425238,0.00048656718,0.00090362196,0.0009387163,0.000119358665,-0.000893733,-0.00018833348,-1.9103545e-05,-0.00060290913,-0.0010390177,-0.0002984625,-0.00025996286,-0.00033134283,-0.00067004585,-0.00027422296,-0.00026401586,-0.00047324615,-0.0006418121,-0.00034393274,-0.00042365797,-0.000363006,-0.0005747064,-0.00035307877,-0.0005441615,-0.000354778,-0.00037888263,-0.000429545,0.99291223,3.4374746e-06
mike,KK 317 Street 14.m4a,-0.073777065,0.018508524,0.005739025,0.004953636,0.002986708,0.0029102042,0.00040287068,0.001109145,-0.0010039541,0.0003742024,0.0003081773,-0.00038563338,-0.00041190675,0.0011432694,-0.00041342937,0.0012316431,-0.0007519366,0.0009645725,-1.864229e-05,0.00024979687,-0.0012266812,0.000354846,-0.00032356288,-0.00045431036,-0.0006425289,-0.00020448159,-0.0006579292,-0.00053292164,-0.00065231527,-0.00039579492,-0.00083241245,-0.000648138,-0.0007088273,-0.0004411557,-0.00060763163,-0.00034545656,-0.00054566364,-0.0005423853,-0.00057149015,-0.00068853924,0.997058,1.7336575e-05
mike,Mike yes 2.m4a,-0.08320475,0.015201031,0.0058915727,0.0041169706,0.0022847962,0.0012096163,0.0004664857,0.00062158925,0.0005197041,0.0005515548,-2.7329768e-06,0.0005423059,0.00031953925,0.00060494157,-0.00039003557,0.0015143871,-0.0011160768,0.00077327894,5.997907e-05,0.0008475084,-0.00025042717,-0.00020989346,-0.0005164483,-0.00052191224,-0.000670875,-0.0006806651,-0.0008405886,-0.0011414358,-0.0008090857,-0.00054189516,-0.0006194917,-0.00010014997,-0.0005754975,-0.00012160833,-0.00058239367,-0.00041743807,-0.000768508,-0.00034175193,-0.00026885822,-0.00043163588,0.9963803,7.711931e-06
mike,Mike yes 3.m4a,-0.106996484,0.015472836,0.0088120885,0.007537385,0.0033289108,0.0032523072,0.00026508767,0.0015519373,0.0006408259,0.0017956226,0.0007715078,0.00061340287,-4.87704e-05,0.0011335864,-0.00013233864,0.0013111001,-0.00083342515,0.0007992543,7.078671e-05,0.0005275627,-0.0001895104,-0.00021700303,-0.0004925305,-0.0009593356,-0.0007192185,-0.0006318634,-0.0010996999,-0.00075796805,-0.00092733,-0.0005858475,-0.00097059313,-0.0006438117,-0.0007091297,-0.00028731258,-0.0006716656,-0.00024688593,-0.0007815894,0.0002782068,-0.00013170311,-0.00050774834,0.99405026,6.2093022e-06
mike,Mike yes 4.m4a,-0.08671413,0.019764816,0.0048704003,0.0064133937,0.0028904863,0.0018586003,-0.001228737,0.00015839063,5.75239e-05,0.0005931036,-0.0005655457,0.00072260475,-0.0009226715,-0.00079583476,0.0005952113,0.0010455417,-0.00039754502,-0.0006255496,0.00096948247,0.0013698267,-0.00041357867,0.00045091324,-0.000406576,-6.022446e-05,-0.0012989097,-0.0006361093,-0.000654553,-0.00058388273,-0.00096982863,-0.00031220375,2.412036e-05,-0.0007646005,-0.0005949739,-0.00025354567,-0.00045807264,-0.00036604117,-0.00062562065,-2.76375e-05,-1.7870405e-05,-0.00055142754,0.9959909,7.4776744e-06
